title,type,country,release_year,rating,genres,platform
The Fisherman's Diary,Movie,Cameroon,2020,TV-MA,"['Dramas', 'International Movies']",Netflix
What Lies Below,Movie,United States,2020,TV-MA,"['Horror Movies', 'Thrillers']",Netflix
Escape from Planet Earth,Movie,"United States, Canada",2013,PG,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']",Netflix
Accepted,Movie,United States,2006,PG-13,['Comedies'],Netflix
Air Strike,Movie,China,2018,R,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
An American Girl: McKenna Shoots for the Stars,Movie,"United States, Canada",2012,TV-Y,"['Children & Family Movies', 'Comedies', 'Dramas']",Netflix
Concrete Cowboy,Movie,"United Kingdom, United States",2021,R,"['Dramas', 'Independent Movies']",Netflix
Cross: Rise of the Villains,Movie,United States,2019,R,['Action & Adventure'],Netflix
God Calling,Movie,Nigeria,2018,TV-MA,"['Dramas', 'Faith & Spirituality', 'International Movies']",Netflix
Irul,Movie,India,2021,TV-MA,"['International Movies', 'Thrillers']",Netflix
Just Say Yes,Movie,Netherlands,2021,TV-MA,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
Madame Claude,Movie,France,2021,TV-MA,"['Dramas', 'International Movies']",Netflix
Wild Child,Movie,"United States, United Kingdom, France",2008,PG-13,"['Comedies', 'Romantic Movies']",Netflix
Woody Woodpecker,Movie,United States,2017,PG,"['Children & Family Movies', 'Comedies']",Netflix
2012,Movie,United States,2009,PG-13,"['Action & Adventure', 'Sci-Fi & Fantasy']",Netflix
3 Idiots,Movie,India,2009,PG-13,"['Comedies', 'Dramas', 'International Movies']",Netflix
Ferrari Ki Sawaari,Movie,India,2012,TV-PG,"['Comedies', 'International Movies', 'Sports Movies']",Netflix
Glimpses of a Future,TV Show,,2020,TV-PG,"['Docuseries', 'International TV Shows']",Netflix
Ibrahim a Fate to Define,Movie,"Lebanon, Palestine, Denmark, Qatar",2019,TV-PG,"['Documentaries', 'International Movies']",Netflix
Insidious,Movie,"United States, Canada",2010,PG-13,"['Horror Movies', 'Thrillers']",Netflix
Into the Grizzly Maze,Movie,"United States, Canada",2015,R,"['Action & Adventure', 'Horror Movies']",Netflix
Kingsglaive: Final Fantasy XV,Movie,"Japan, United States",2016,PG-13,"['Action & Adventure', 'Sci-Fi & Fantasy']",Netflix
Legally Blonde,Movie,United States,2001,PG-13,"['Comedies', 'Romantic Movies']",Netflix
Madam Chief Minister,Movie,India,2020,TV-14,"['Dramas', 'International Movies']",Netflix
Magical Andes,TV Show,"Uruguay, Germany",2021,TV-G,"['Docuseries', 'International TV Shows', 'Science & Nature TV']",Netflix
Maximum Risk,Movie,United States,1996,R,['Action & Adventure'],Netflix
Murder Maps,TV Show,United Kingdom,2017,TV-MA,"['British TV Shows', 'Crime TV Shows', 'Docuseries']",Netflix
My Fair Lady,Movie,United States,1964,G,"['Classic Movies', 'Music & Musicals']",Netflix
Prank Encounters,TV Show,United States,2021,TV-MA,"['Reality TV', 'TV Comedies', 'TV Horror']",Netflix
S.W.A.T.: Under Siege,Movie,United States,2017,R,"['Action & Adventure', 'International Movies']",Netflix
Secrets of Great British Castles,TV Show,United Kingdom,2016,TV-PG,"['British TV Shows', 'Docuseries', 'International TV Shows']",Netflix
Seven Souls in the Skull Castle: Season Bird,Movie,,2017,TV-14,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
Seven Souls in the Skull Castle: Season Flower,Movie,Japan,2017,TV-14,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
Seven Souls in the Skull Castle: Season Wind,Movie,,2017,TV-14,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
Sniper: Ghost Shooter,Movie,United States,2016,R,['Action & Adventure'],Netflix
Starship Troopers: Traitor of Mars,Movie,"United States, Japan",2017,R,"['Action & Adventure', 'Sci-Fi & Fantasy']",Netflix
Takers,Movie,United States,2010,PG-13,['Action & Adventure'],Netflix
Tersanjung the Movie,Movie,Indonesia,2021,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
The Knight and the Princess,Movie,"Egypt, Saudi Arabia",2019,TV-PG,"['Action & Adventure', 'International Movies', 'Music & Musicals']",Netflix
The Pianist,Movie,"United Kingdom, France, Poland, Germany, United States",2002,R,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
The Stepfather,Movie,United States,2009,PG-13,"['Horror Movies', 'Thrillers']",Netflix
Universal Soldier: The Return,Movie,United States,1999,R,['Action & Adventure'],Netflix
Wazir,Movie,India,2016,TV-14,"['Dramas', 'International Movies', 'Thrillers']",Netflix
White Boy,Movie,United States,2017,TV-MA,['Documentaries'],Netflix
Worn Stories,TV Show,United States,2021,TV-MA,"['Docuseries', 'Reality TV']",Netflix
Yes Man,Movie,"United States, United Kingdom",2008,PG-13,"['Comedies', 'Romantic Movies']",Netflix
At Eternity's Gate,Movie,"Ireland, Switzerland, United Kingdom, France, United States",2018,PG-13,['Dramas'],Netflix
Haunted: Latin America,TV Show,"United States, Mexico",2021,TV-14,"['International TV Shows', 'Reality TV', 'Spanish-Language TV Shows']",Netflix
Not a Game,Movie,United Kingdom,2020,TV-MA,"['Documentaries', 'International Movies', 'Sports Movies']",Netflix
Robocar Poli,TV Show,South Korea,2015,TV-Y,"[""Kids' TV"", 'Korean TV Shows']",Netflix
Yu-Gi-Oh!,TV Show,Japan,2005,TV-Y7,"['Anime Series', ""Kids' TV""]",Netflix
7 Yards: The Chris Norton Story,Movie,United States,2021,TV-PG,['Documentaries'],Netflix
Octonauts & the Ring of Fire,Movie,"China, United Kingdom",2021,TV-Y,['Children & Family Movies'],Netflix
Rainbow High,TV Show,United States,2020,TV-Y,"[""Kids' TV""]",Netflix
Mandela: Long Walk to Freedom,Movie,"United Kingdom, South Africa, France",2013,PG-13,"['Dramas', 'International Movies']",Netflix
Lawless,Movie,United States,2012,R,['Dramas'],Netflix
Marked,Movie,Nigeria,2021,TV-PG,"['Documentaries', 'International Movies']",Netflix
A Week Away,Movie,United States,2021,TV-PG,"['Children & Family Movies', 'Faith & Spirituality', 'Music & Musicals']",Netflix
Bad Trip,Movie,United States,2021,TV-MA,['Comedies'],Netflix
Big Time Rush,TV Show,United States,2013,TV-G,"[""Kids' TV""]",Netflix
Black Is Beltza,Movie,,2018,TV-MA,"['Dramas', 'International Movies']",Netflix
Croupier,Movie,"Ireland, United Kingdom, France, Germany",1998,TV-MA,"['Dramas', 'Independent Movies', 'Thrillers']",Netflix
Elizabeth and Margaret: Love and Loyalty,Movie,United Kingdom,2020,TV-PG,['Documentaries'],Netflix
Keeping the Bees,Movie,Turkey,2020,TV-14,"['Dramas', 'International Movies']",Netflix
Magic for Humans Spain,TV Show,Spain,2021,TV-MA,"['International TV Shows', 'Reality TV', 'Spanish-Language TV Shows']",Netflix
Ni de coña,Movie,Spain,2020,TV-MA,"['Comedies', 'International Movies']",Netflix
Pagglait,Movie,India,2021,TV-PG,"['Comedies', 'Dramas', 'International Movies']",Netflix
The Irregulars,TV Show,United Kingdom,2021,TV-14,"['British TV Shows', 'Crime TV Shows', 'International TV Shows']",Netflix
Caught by a Wave,Movie,Italy,2021,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
DOTA: Dragon's Blood,TV Show,United States,2021,TV-MA,['Anime Series'],Netflix
Pui Pui Molcar,TV Show,Japan,2021,TV-Y7,"[""Kids' TV""]",Netflix
Secret Magic Control Agency,Movie,"Russia, United States",2021,TV-Y7,"['Children & Family Movies', 'Comedies']",Netflix
Seaspiracy,Movie,United States,2021,TV-14,['Documentaries'],Netflix
Loyiso Gola: Unlearning,Movie,South Africa,2021,TV-MA,['Stand-Up Comedy'],Netflix
Men on a Mission,TV Show,South Korea,2021,TV-14,"['International TV Shows', 'Korean TV Shows', 'Stand-Up Comedy & Talk Shows']",Netflix
Navillera,TV Show,South Korea,2021,TV-14,"['International TV Shows', 'TV Dramas']",Netflix
Philomena,Movie,"United Kingdom, United States, France",2013,PG-13,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Any Crybabies Around?,Movie,Japan,2020,TV-MA,"['Dramas', 'International Movies']",Netflix
Hospital,Movie,Taiwan,2020,TV-MA,"['Horror Movies', 'International Movies']",Netflix
Jiu Jitsu,Movie,United States,2020,R,['Action & Adventure'],Netflix
Mighty Morphin Power Rangers,TV Show,"United States, Japan",2010,TV-Y7,"[""Kids' TV""]",Netflix
Alien TV,TV Show,,2021,TV-Y7,"[""Kids' TV"", 'TV Comedies']",Netflix
Country Comfort,TV Show,United States,2021,TV-PG,['TV Comedies'],Netflix
Formula 1: Drive to Survive,TV Show,United Kingdom,2021,TV-MA,['Docuseries'],Netflix
Reframe THEATER EXPERIENCE with you,Movie,,2020,TV-G,"['International Movies', 'Music & Musicals']",Netflix
The Yin Yang Master,Movie,China,2021,TV-14,"['Action & Adventure', 'International Movies']",Netflix
Who's the Boss,Movie,Nigeria,2020,TV-MA,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
B: The Beginning,TV Show,Japan,2021,TV-MA,"['Anime Series', 'Crime TV Shows', 'International TV Shows']",Netflix
Deadly Illusions,Movie,United States,2021,R,['Thrillers'],Netflix
Get the Goat,Movie,Brazil,2021,TV-14,"['Action & Adventure', 'Comedies', 'International Movies']",Netflix
Nate Bargatze: The Greatest Average American,Movie,United States,2021,TV-G,['Stand-Up Comedy'],Netflix
Skylines,Movie,"United Kingdom, United States",2020,R,['Action & Adventure'],Netflix
The Fluffy Movie,Movie,United States,2014,PG-13,['Stand-Up Comedy'],Netflix
The Present,Movie,"United Kingdom,",2020,TV-MA,"['Dramas', 'International Movies']",Netflix
Wave of Cinema: 90's Generation,Movie,,2020,TV-PG,"['Documentaries', 'International Movies', 'Music & Musicals']",Netflix
Catch.er,Movie,Nigeria,2017,TV-14,"['Dramas', 'International Movies', 'Thrillers']",Netflix
Operation Varsity Blues: The College Admissions Scandal,Movie,United States,2021,R,['Documentaries'],Netflix
Under Suspicion: Uncovering the Wesphael Case,TV Show,Belgium,2021,TV-14,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",Netflix
Get on Up,Movie,"United Kingdom, United States",2014,PG-13,"['Dramas', 'Music & Musicals']",Netflix
RebellComedy: Straight Outta the Zoo,Movie,Germany,2021,TV-MA,['Stand-Up Comedy'],Netflix
Savages,Movie,United States,2012,R,"['Dramas', 'Thrillers']",Netflix
Waffles + Mochi,TV Show,United States,2021,TV-Y,"[""Kids' TV""]",Netflix
Abla Fahita: Drama Queen,TV Show,Egypt,2021,TV-14,"['Crime TV Shows', 'International TV Shows', 'TV Comedies']",Netflix
C/O Kaadhal,Movie,India,2021,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
The BFG,Movie,"United States, India, United Kingdom",2016,PG,"['Children & Family Movies', 'Dramas']",Netflix
The Last Blockbuster,Movie,United States,2020,TV-14,['Documentaries'],Netflix
The Lost Pirate Kingdom,TV Show,"United States, United Kingdom",2021,TV-MA,"['Docuseries', 'Science & Nature TV', 'TV Action & Adventure']",Netflix
Zero Chill,TV Show,United Kingdom,2021,TV-G,"['British TV Shows', ""Kids' TV"", 'TV Dramas']",Netflix
Audrey,Movie,,2020,TV-14,['Documentaries'],Netflix
Çarsi Pazar,Movie,Turkey,2015,TV-MA,"['Comedies', 'International Movies']",Netflix
Just In Time,Movie,Kenya,2020,TV-G,"['Comedies', 'Dramas', 'International Movies']",Netflix
Love Alarm,TV Show,South Korea,2021,TV-MA,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']",Netflix
Mucize,Movie,Turkey,2015,TV-14,"['Dramas', 'International Movies']",Netflix
Paper Lives,Movie,Turkey,2021,TV-MA,"['Dramas', 'International Movies']",Netflix
Paradise PD,TV Show,United States,2021,TV-MA,['TV Comedies'],Netflix
Quiet,Movie,,2020,TV-MA,"['Dramas', 'International Movies', 'Music & Musicals']",Netflix
Romantik Komedi,Movie,Turkey,2010,TV-MA,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
Romantik Komedi 2: Bekarlığa Veda,Movie,Turkey,2013,TV-MA,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
The One,TV Show,United Kingdom,2021,TV-MA,"['British TV Shows', 'Crime TV Shows', 'International TV Shows']",Netflix
YES DAY,Movie,United States,2021,PG,"['Children & Family Movies', 'Comedies']",Netflix
You're Everything To Me,Movie,Turkey,2016,TV-PG,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
Coven of Sisters,Movie,"Spain, Argentina",2021,TV-MA,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Generasi 90an: Melankolia,Movie,Indonesia,2020,TV-14,"['Dramas', 'International Movies']",Netflix
The Block Island Sound,Movie,United States,2020,TV-MA,"['Horror Movies', 'Independent Movies']",Netflix
Dealer,TV Show,France,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",Netflix
Last Chance U: Basketball,TV Show,,2021,TV-MA,['Docuseries'],Netflix
Marriage or Mortgage,TV Show,,2021,TV-G,"['Reality TV', 'Romantic TV Shows']",Netflix
The Houseboat,TV Show,Germany,2021,TV-14,"['Docuseries', 'International TV Shows']",Netflix
Bombay Begums,TV Show,India,2021,TV-MA,"['International TV Shows', 'TV Dramas']",Netflix
Bombay Rose,Movie,"India, United Kingdom, France, Qatar",2021,PG-13,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
My Way,TV Show,Egypt,2015,TV-14,"['International TV Shows', 'TV Dramas']",Netflix
Aelay,Movie,India,2021,TV-14,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
City of Ghosts,TV Show,United States,2021,TV-Y7,"[""Kids' TV""]",Netflix
Dogwashers,Movie,Colombia,2021,TV-MA,"['Comedies', 'Dramas', 'International Movies']",Netflix
Fate of Alakada,Movie,Nigeria,2020,TV-14,"['Comedies', 'International Movies']",Netflix
Nevenka: Breaking the Silence,TV Show,Spain,2021,TV-MA,"['Docuseries', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
Pokémon Journeys: The Series,TV Show,,2021,TV-Y7,"['Anime Series', ""Kids' TV"", 'TV Action & Adventure']",Netflix
Sentinelle,Movie,France,2021,TV-MA,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
Mariposa,Movie,Indonesia,2020,TV-14,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
Pacific Rim: The Black,TV Show,"United States, Australia",2021,TV-14,['Anime Series'],Netflix
Parker,Movie,United States,2013,R,['Action & Adventure'],Netflix
Safe Haven,Movie,United States,2013,PG-13,"['Dramas', 'Romantic Movies']",Netflix
Moxie,Movie,United States,2021,PG-13,"['Comedies', 'Dramas', 'Music & Musicals']",Netflix
Murder Among the Mormons,TV Show,United States,2021,TV-14,"['Crime TV Shows', 'Docuseries']",Netflix
Black or White,Movie,United States,2014,PG-13,['Dramas'],Netflix
Indoo Ki Jawani,Movie,India,2020,TV-14,"['Action & Adventure', 'Comedies', 'International Movies']",Netflix
Word Party,TV Show,United States,2021,TV-Y,"[""Kids' TV""]",Netflix
A Perfect Day For Arsenide,TV Show,,2019,TV-MA,"['Classic & Cult TV', 'Crime TV Shows', 'International TV Shows']",Netflix
Banyuki,Movie,,2009,TV-PG,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
Biggie: I Got a Story to Tell,Movie,United States,2021,R,"['Documentaries', 'Music & Musicals']",Netflix
Blanche Gardin: The All-Nighter,Movie,,2021,TV-MA,['Stand-Up Comedy'],Netflix
Connected,Movie,,2021,TV-G,"['Documentaries', 'International Movies', 'Music & Musicals']",Netflix
Dances with Wolves,Movie,"United States, United Kingdom",1990,PG-13,"['Action & Adventure', 'Classic Movies', 'Dramas']",Netflix
How to Be Really Bad,Movie,Germany,2018,TV-14,"['Comedies', 'International Movies']",Netflix
LEGO Marvel Spider-Man: Vexed by Venom,Movie,United States,2019,TV-Y,"['Children & Family Movies', 'Comedies']",Netflix
Rain Man,Movie,United States,1988,R,"['Classic Movies', 'Dramas']",Netflix
Seven Souls in the Skull Castle 2011,Movie,,2011,TV-14,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
Tenacious D in The Pick of Destiny,Movie,"United States, Germany",2006,R,"['Comedies', 'Cult Movies', 'Music & Musicals']",Netflix
TIGER & BUNNY,TV Show,Japan,2011,TV-14,"['Anime Series', 'International TV Shows']",Netflix
Bigfoot Family,Movie,"Belgium, France",2021,TV-Y7,"['Children & Family Movies', 'Comedies']",Netflix
Captain Fantastic,Movie,United States,2016,R,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
Crazy About Her,Movie,Spain,2021,TV-MA,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
Fuga,Movie,"Argentina, Chile",2006,TV-MA,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Ginny & Georgia - The Afterparty,Movie,,2021,TV-MA,"['Comedies', 'Dramas']",Netflix
No Escape,Movie,"United States, Thailand",2015,R,['Action & Adventure'],Netflix
Our Idiot Brother,Movie,United States,2011,R,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
The Girl on the Train,Movie,India,2021,TV-MA,"['International Movies', 'Thrillers']",Netflix
Tony Manero,Movie,"Chile, Brazil",2008,TV-MA,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Who Am I,Movie,Germany,2014,TV-MA,"['International Movies', 'Thrillers']",Netflix
El final del paraíso,TV Show,"United States, Colombia",2019,TV-MA,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
Geez & Ann,Movie,Indonesia,2021,TV-PG,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Sin senos sí hay paraíso,TV Show,"United States, Colombia",2018,TV-MA,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",Netflix
The Last Bastion,TV Show,,2018,TV-MA,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",Netflix
Age of Samurai: Battle for Japan,TV Show,United States,2021,TV-MA,"['Docuseries', 'International TV Shows']",Netflix
"Blue, Painful, Fragile",Movie,Japan,2020,TV-14,"['International Movies', 'Thrillers']",Netflix
Canine Intervention,TV Show,United States,2021,TV-PG,['Reality TV'],Netflix
Ginny & Georgia,TV Show,United States,2021,TV-14,"['Romantic TV Shows', 'TV Comedies', 'TV Dramas']",Netflix
M8 - When Death Rescues Life,Movie,,2019,TV-MA,"['Dramas', 'International Movies']",Netflix
Two Sentence Horror Stories,TV Show,United States,2021,TV-14,"['TV Horror', 'Teen TV Shows']",Netflix
Brian Regan: On the Rocks,Movie,United States,2021,TV-G,['Stand-Up Comedy'],Netflix
Made You Look: A True Story About Fake Art,Movie,Canada,2020,TV-14,"['Documentaries', 'International Movies']",Netflix
Pelé,Movie,United Kingdom,2021,TV-14,"['Documentaries', 'International Movies', 'Sports Movies']",Netflix
Red,Movie,India,2021,TV-14,"['Dramas', 'International Movies']",Netflix
Zindagi in Short,TV Show,India,2020,TV-MA,"['International TV Shows', 'TV Dramas']",Netflix
The Conjuring,Movie,United States,2013,R,"['Horror Movies', 'Thrillers']",Netflix
The Conjuring 2,Movie,"Canada, United States, United Kingdom",2016,R,['Horror Movies'],Netflix
Vincenzo,TV Show,South Korea,2021,TV-14,"['International TV Shows', 'TV Comedies', 'TV Dramas']",Netflix
Classmates Minus,Movie,Taiwan,2020,TV-MA,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
Fate: The Winx Saga - The Afterparty,Movie,United Kingdom,2021,TV-14,"['Comedies', 'Dramas']",Netflix
Operation Finale,Movie,United States,2018,PG-13,"['Dramas', 'Thrillers']",Netflix
Wave of Cinema: Surat dari Timur,Movie,,2020,TV-G,"['Documentaries', 'International Movies', 'Music & Musicals']",Netflix
I Care a Lot,Movie,"United Kingdom, United States",2021,R,"['Comedies', 'LGBTQ Movies', 'Thrillers']",Netflix
Love,Movie,India,2020,TV-14,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Perú: Tesoro escondido,Movie,Uruguay,2017,TV-PG,"['Documentaries', 'International Movies']",Netflix
Pitta Kathalu,TV Show,India,2021,TV-MA,"['International TV Shows', 'TV Dramas']",Netflix
Tribes of Europa,TV Show,Germany,2021,TV-MA,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']",Netflix
Eeb Allay Ooo!,Movie,India,2019,TV-MA,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
"Hello, Me!",TV Show,South Korea,2021,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
No Escape Room,Movie,United States,2018,TV-14,['Horror Movies'],Netflix
Sisyphus,TV Show,South Korea,2021,TV-14,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']",Netflix
Thus Spoke Kishibe Rohan,TV Show,,2021,TV-MA,"['Anime Series', 'International TV Shows']",Netflix
Amend: The Fight for America,TV Show,United States,2021,TV-MA,['Docuseries'],Netflix
Behind Her Eyes,TV Show,United Kingdom,2021,TV-MA,"['British TV Shows', 'International TV Shows', 'TV Dramas']",Netflix
MeatEater,TV Show,United States,2021,TV-14,"['Docuseries', 'Reality TV', 'Science & Nature TV']",Netflix
The Most Unknown,Movie,United States,2018,TV-PG,['Documentaries'],Netflix
Animals on the Loose: A You vs. Wild Movie,Movie,United States,2021,TV-PG,['Children & Family Movies'],Netflix
Awara Paagal Deewana,Movie,India,2002,TV-14,"['Action & Adventure', 'Comedies', 'Dramas']",Netflix
Good Girls,TV Show,United States,2020,TV-MA,"['Crime TV Shows', 'TV Comedies', 'TV Dramas']",Netflix
The Resurrection of Gavin Stone,Movie,United States,2017,PG,"['Children & Family Movies', 'Comedies', 'Dramas']",Netflix
Booba,TV Show,United Kingdom,2021,TV-Y7,"[""Kids' TV"", 'TV Comedies']",Netflix
"My Teacher, My Obsession",Movie,United States,2018,TV-14,['Thrillers'],Netflix
The Crew,TV Show,United States,2021,TV-14,['TV Comedies'],Netflix
Namaste Wahala,Movie,Nigeria,2021,TV-14,"['Comedies', 'Dramas', 'International Movies']",Netflix
Monsoon,Movie,United Kingdom,2020,TV-MA,"['Dramas', 'Independent Movies', 'LGBTQ Movies']",Netflix
Buried by the Bernards,TV Show,United States,2021,TV-14,['Reality TV'],Netflix
Chappelle's Show,TV Show,United States,2005,TV-MA,['TV Comedies'],Netflix
Hate by Dani Rovira,Movie,Spain,2021,TV-MA,['Stand-Up Comedy'],Netflix
Mundina Nildana,Movie,India,2019,TV-MA,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Nadiya Bakes,TV Show,United Kingdom,2021,TV-G,"['British TV Shows', 'International TV Shows', 'Reality TV']",Netflix
To All The Boys: Always And Forever,Movie,United States,2021,TV-14,"['Comedies', 'Romantic Movies']",Netflix
Xico's Journey,Movie,Mexico,2021,TV-Y7,['Children & Family Movies'],Netflix
Capitani,TV Show,Luxembourg,2019,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",Netflix
El Chema,TV Show,Mexico,2016,TV-MA,"['Crime TV Shows', 'Spanish-Language TV Shows', 'TV Action & Adventure']",Netflix
Growing up and other problems,Movie,Spain,2018,TV-14,"['Comedies', 'Dramas', 'International Movies']",Netflix
Layla Majnun,Movie,Indonesia,2020,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Middle of Nowhere,Movie,United States,2012,R,"['Dramas', 'Independent Movies', 'Romantic Movies']",Netflix
Red Dot,Movie,Sweden,2021,TV-MA,"['International Movies', 'Thrillers']",Netflix
Squared Love,Movie,Poland,2021,TV-14,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
This Is the Life,Movie,United States,2008,TV-MA,"['Documentaries', 'Music & Musicals']",Netflix
Crime Scene: The Vanishing at the Cecil Hotel,TV Show,United States,2021,TV-MA,"['Crime TV Shows', 'Docuseries']",Netflix
The Misadventures of Hedi and Cokeman,Movie,France,2021,TV-MA,"['Comedies', 'International Movies']",Netflix
The World We Make,Movie,United States,2019,PG,"['Dramas', 'Romantic Movies']",Netflix
Five Came Back: The Reference Films,TV Show,United States,1945,TV-MA,['TV Shows'],Netflix
ICarly,TV Show,United States,2008,TV-G,"[""Kids' TV"", 'TV Comedies']",Netflix
War Dogs,Movie,"United States, Cambodia, Romania",2016,R,"['Comedies', 'Dramas']",Netflix
Monster Run,Movie,China,2020,TV-14,"['Action & Adventure', 'International Movies']",Netflix
The Sinner,TV Show,United States,2020,TV-MA,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries']",Netflix
Blanche Gardin: I talk to myself,Movie,France,2017,TV-MA,['Stand-Up Comedy'],Netflix
Doob: No Bed of Roses,Movie,Bangladesh,2017,TV-PG,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Hache,TV Show,Spain,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
Invisible City,TV Show,Brazil,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",Netflix
Little Big Women,Movie,Taiwan,2020,TV-14,"['Dramas', 'International Movies']",Netflix
Malcolm & Marie,Movie,United States,2021,R,"['Dramas', 'Independent Movies']",Netflix
Space Sweepers,Movie,South Korea,2021,TV-MA,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
"Strip Down, Rise Up",Movie,United States,2021,R,['Documentaries'],Netflix
The Last Paradiso,Movie,Italy,2020,TV-MA,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
The Yin-Yang Master: Dream Of Eternity,Movie,China,2021,TV-14,"['Action & Adventure', 'International Movies']",Netflix
All My Friends Are Dead,Movie,Poland,2020,TV-MA,"['Comedies', 'Dramas', 'International Movies']",Netflix
Black Beach,Movie,"Spain, Belgium, United States",2020,TV-MA,"['Action & Adventure', 'International Movies']",Netflix
Firefly Lane,TV Show,United States,2021,TV-MA,"['Romantic TV Shows', 'TV Dramas']",Netflix
"Pablo Escobar, el patrón del mal",TV Show,Colombia,2012,TV-MA,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
Power Rangers Ninja Steel,TV Show,United States,2018,TV-Y7,"[""Kids' TV""]",Netflix
"Our Lady of San Juan, Four Centuries of Miracles",Movie,Mexico,2020,TV-PG,"['Dramas', 'Faith & Spirituality', 'International Movies']",Netflix
Tiffany Haddish Presents: They Ready,TV Show,United States,2021,TV-MA,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']",Netflix
Beverly Hills Ninja,Movie,United States,1997,PG-13,"['Action & Adventure', 'Comedies']",Netflix
Heartland,TV Show,Canada,2019,TV-14,['TV Dramas'],Netflix
Love Daily,TV Show,United States,2018,TV-14,"['Romantic TV Shows', 'Teen TV Shows']",Netflix
My Dead Ex,TV Show,United States,2018,TV-14,"['TV Comedies', 'Teen TV Shows']",Netflix
Rocks,Movie,United Kingdom,2019,TV-MA,['Dramas'],Netflix
Shutter Island,Movie,United States,2010,R,['Thrillers'],Netflix
The Bank Job,Movie,"United Kingdom, United States, Australia",2008,R,"['Dramas', 'International Movies', 'Thrillers']",Netflix
The House Arrest of Us,TV Show,Philippines,2020,TV-MA,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
The Unsettling,TV Show,United States,2019,TV-14,"['TV Horror', 'Teen TV Shows']",Netflix
Total Drama,TV Show,"Canada, United States, France",2015,TV-PG,"[""Kids' TV"", 'TV Comedies']",Netflix
Zac and Mia,TV Show,United States,2019,TV-14,"['Romantic TV Shows', 'TV Dramas', 'Teen TV Shows']",Netflix
Zathura,Movie,United States,2005,PG,"['Children & Family Movies', 'Sci-Fi & Fantasy']",Netflix
Zig & Sharko,TV Show,France,2019,TV-Y7,"[""Kids' TV"", 'TV Comedies']",Netflix
Fatima,Movie,"Portugal, United States",2020,PG-13,"['Dramas', 'Faith & Spirituality']",Netflix
Hell Fest,Movie,United States,2018,R,['Horror Movies'],Netflix
