title,type,country,release_year,rating,genres,platform
Naruto Shippûden the Movie: Bonds,Movie,Japan,2008,TV-PG,"['Action & Adventure', 'Anime Features', 'International Movies']",Netflix
Naruto Shippûden the Movie: The Will of Fire,Movie,Japan,2009,TV-PG,"['Action & Adventure', 'Anime Features', 'International Movies']",Netflix
Naruto Shippuden: The Movie,Movie,Japan,2007,TV-PG,"['Action & Adventure', 'Anime Features', 'International Movies']",Netflix
Naruto Shippuden: The Movie: The Lost Tower,Movie,Japan,2010,TV-14,"['Action & Adventure', 'Anime Features', 'International Movies']",Netflix
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Japan,2005,TV-PG,"['Action & Adventure', 'Anime Features', 'International Movies']",Netflix
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Japan,2006,TV-PG,"['Action & Adventure', 'Anime Features', 'International Movies']",Netflix
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Japan,2004,TV-PG,"['Action & Adventure', 'Anime Features', 'International Movies']",Netflix
Nightbooks,Movie,,2021,TV-PG,['Children & Family Movies'],Netflix
Numberblocks,TV Show,United Kingdom,2021,TV-Y,"[""Kids' TV""]",Netflix
Raja Rasoi Aur Anya Kahaniyan,TV Show,India,2014,TV-G,"['Docuseries', 'International TV Shows']",Netflix
Saved by the Bell,TV Show,United States,1994,TV-PG,"[""Kids' TV"", 'TV Comedies']",Netflix
Schumacher,Movie,,2021,TV-14,"['Documentaries', 'International Movies', 'Sports Movies']",Netflix
Stories by Rabindranath Tagore,TV Show,India,2015,TV-PG,"['International TV Shows', 'TV Dramas']",Netflix
Too Hot To Handle: Latino,TV Show,,2021,TV-MA,"['International TV Shows', 'Reality TV', 'Romantic TV Shows']",Netflix
A StoryBots Space Adventure,Movie,,2021,TV-Y,['Children & Family Movies'],Netflix
Jack Whitehall: Travels with My Father,TV Show,United Kingdom,2021,TV-MA,"['British TV Shows', 'Docuseries', 'International TV Shows']",Netflix
King of Boys,Movie,Nigeria,2018,TV-MA,"['Dramas', 'International Movies']",Netflix
The World's Most Amazing Vacation Rentals,TV Show,,2021,TV-PG,['Reality TV'],Netflix
You vs. Wild: Out Cold,Movie,,2021,TV-G,['Children & Family Movies'],Netflix
Yowamushi Pedal,TV Show,Japan,2013,TV-14,"['Anime Series', 'International TV Shows']",Netflix
Little Singham - Black Shadow,Movie,,2021,TV-Y7,"['Children & Family Movies', 'Comedies']",Netflix
Tughlaq Durbar,Movie,,2020,TV-14,"['Comedies', 'Dramas', 'International Movies']",Netflix
Tughlaq Durbar (Telugu),Movie,,2021,TV-14,"['Comedies', 'Dramas', 'International Movies']",Netflix
Firedrake the Silver Dragon,Movie,,2021,TV-Y7,['Children & Family Movies'],Netflix
Kate,Movie,United States,2021,R,['Action & Adventure'],Netflix
Lucifer,TV Show,United States,2021,TV-14,"['Crime TV Shows', 'TV Comedies', 'TV Dramas']",Netflix
Metal Shop Masters,TV Show,,2021,TV-MA,['Reality TV'],Netflix
Omo Ghetto: the Saga,Movie,Nigeria,2020,TV-MA,"['Action & Adventure', 'Comedies', 'Dramas']",Netflix
Pokémon Master Journeys: The Series,TV Show,,2021,TV-Y7,"['Anime Series', ""Kids' TV""]",Netflix
Prey,Movie,,2021,TV-MA,"['International Movies', 'Thrillers']",Netflix
Titipo Titipo,TV Show,,2019,TV-Y,"[""Kids' TV"", 'Korean TV Shows']",Netflix
Blood Brothers: Malcolm X & Muhammad Ali,Movie,,2021,PG-13,"['Documentaries', 'Sports Movies']",Netflix
Mighty Raju,TV Show,,2017,TV-Y7,"[""Kids' TV""]",Netflix
Paradise Hills,Movie,"Spain, United States",2019,TV-MA,"['Sci-Fi & Fantasy', 'Thrillers']",Netflix
The Women and the Murderer,Movie,France,2021,TV-14,"['Documentaries', 'International Movies']",Netflix
Into the Night,TV Show,Belgium,2021,TV-MA,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",Netflix
JJ+E,Movie,,2021,TV-MA,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Show Dogs,Movie,"United Kingdom, United States",2018,PG,"['Children & Family Movies', 'Comedies']",Netflix
The Circle,TV Show,"United States, United Kingdom",2021,TV-MA,['Reality TV'],Netflix
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,United States,2018,TV-MA,"['Documentaries', 'Music & Musicals']",Netflix
Kid Cosmic,TV Show,United States,2021,TV-Y7,"[""Kids' TV"", 'TV Comedies', 'TV Sci-Fi & Fantasy']",Netflix
Octonauts: Above & Beyond,TV Show,United Kingdom,2021,TV-Y,"['British TV Shows', ""Kids' TV""]",Netflix
On the Verge,TV Show,"France, United States",2021,TV-MA,"['TV Comedies', 'TV Dramas']",Netflix
Tobot Galaxy Detectives,TV Show,,2019,TV-Y7,"[""Kids' TV""]",Netflix
Untold: Breaking Point,Movie,United States,2021,TV-MA,"['Documentaries', 'Sports Movies']",Netflix
Countdown: Inspiration4 Mission to Space,TV Show,,2021,TV-14,"['Docuseries', 'Science & Nature TV']",Netflix
Shadow Parties,Movie,,2020,TV-MA,"['Dramas', 'International Movies', 'Thrillers']",Netflix
Tayo the Little Bus,TV Show,South Korea,2016,TV-Y,"[""Kids' TV"", 'Korean TV Shows']",Netflix
Angamaly Diaries,Movie,India,2017,TV-14,"['Action & Adventure', 'Comedies', 'Dramas']",Netflix
Bunk'd,TV Show,United States,2021,TV-G,"[""Kids' TV"", 'TV Comedies']",Netflix
A Champion Heart,Movie,United States,2018,G,"['Children & Family Movies', 'Dramas']",Netflix
Dive Club,TV Show,Australia,2021,TV-G,"[""Kids' TV"", 'TV Dramas', 'Teen TV Shows']",Netflix
La casa de papel,TV Show,Spain,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
Money Heist: From Tokyo to Berlin,TV Show,,2021,TV-MA,"['Docuseries', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
Sharkdog,TV Show,"United States, Singapore",2021,TV-Y,"[""Kids' TV""]",Netflix
Worth,Movie,,2021,PG-13,['Dramas'],Netflix
Afterlife of the Party,Movie,,2021,TV-PG,"['Comedies', 'Romantic Movies']",Netflix
Anjaam,Movie,India,1994,TV-14,"['Dramas', 'International Movies', 'Thrillers']",Netflix
Bright Star,Movie,"United Kingdom, Australia, France",2009,PG,"['Dramas', 'Romantic Movies']",Netflix
Dhanak,Movie,India,2015,TV-PG,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
Final Account,Movie,"United Kingdom, United States",2021,PG-13,['Documentaries'],Netflix
Gurgaon,Movie,India,2017,TV-14,"['Dramas', 'International Movies', 'Thrillers']",Netflix
Here and There,Movie,,2020,TV-MA,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Heroes of Goo Jit Zu,TV Show,Australia,2021,TV-Y7,"[""Kids' TV"", 'TV Comedies']",Netflix
Hotel Del Luna,TV Show,,2019,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
In the Cut,Movie,"United Kingdom, Australia, France, United States",2003,R,['Thrillers'],Netflix
Luv Kushh,TV Show,,2012,TV-Y7,"[""Kids' TV""]",Netflix
Pororo - The Little Penguin,TV Show,South Korea,2013,TV-Y7,"[""Kids' TV"", 'Korean TV Shows']",Netflix
Q-Force,TV Show,United States,2021,TV-MA,"['Crime TV Shows', 'TV Action & Adventure', 'TV Comedies']",Netflix
Shikara,Movie,India,2020,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
A Cinderella Story,Movie,"United States, Canada",2004,PG,"['Children & Family Movies', 'Comedies']",Netflix
Agatha Christie's Crooked House,Movie,,2017,PG-13,"['Dramas', 'International Movies', 'Thrillers']",Netflix
An Unfinished Life,Movie,"Germany, United States",2005,PG-13,['Dramas'],Netflix
Barbie Big City Big Dreams,Movie,,2021,TV-Y,"['Children & Family Movies', 'Music & Musicals']",Netflix
Blade Runner: The Final Cut,Movie,United States,1982,R,"['Action & Adventure', 'Classic Movies', 'Cult Movies']",Netflix
Brave Animated Series,TV Show,,2021,TV-MA,"['International TV Shows', 'TV Action & Adventure', 'TV Comedies']",Netflix
Chappie,Movie,"South Africa, United States",2015,R,"['Action & Adventure', 'Sci-Fi & Fantasy']",Netflix
Clear and Present Danger,Movie,"United States, Mexico",1994,PG-13,"['Action & Adventure', 'Dramas']",Netflix
Cliffhanger,Movie,"United States, Italy, France, Japan",1993,R,['Action & Adventure'],Netflix
Cold Mountain,Movie,"United States, Italy, Romania, United Kingdom",2003,R,"['Dramas', 'Romantic Movies']",Netflix
Crocodile Dundee in Los Angeles,Movie,"Australia, United States",2001,PG,"['Action & Adventure', 'Comedies']",Netflix
Dear John,Movie,United States,2010,PG-13,"['Dramas', 'Romantic Movies']",Netflix
Do the Right Thing,Movie,United States,1989,R,"['Classic Movies', 'Comedies', 'Dramas']",Netflix
"El patrón, radiografía de un crimen",Movie,"Argentina, Venezuela",2014,TV-MA,"['Dramas', 'International Movies', 'Thrillers']",Netflix
Extraction,Movie,"United States, United Kingdom, Canada",2015,R,['Action & Adventure'],Netflix
Freedom Writers,Movie,"Germany, United States",2007,PG-13,['Dramas'],Netflix
Green Lantern,Movie,United States,2011,PG-13,"['Action & Adventure', 'Sci-Fi & Fantasy']",Netflix
House Party,Movie,United States,1990,R,"['Comedies', 'Cult Movies']",Netflix
House Party 2,Movie,United States,1991,R,"['Comedies', 'Cult Movies', 'Music & Musicals']",Netflix
House Party 3,Movie,United States,1994,R,"['Comedies', 'Music & Musicals']",Netflix
How to Be a Cowboy,TV Show,,2021,TV-PG,['Reality TV'],Netflix
HQ Barbers,TV Show,,2020,TV-14,['TV Shows'],Netflix
I Got the Hook Up,Movie,United States,1998,R,"['Action & Adventure', 'Comedies']",Netflix
In Too Deep,Movie,United States,1999,R,['Thrillers'],Netflix
Initial D,Movie,"China, Hong Kong",2005,TV-14,"['Action & Adventure', 'International Movies']",Netflix
Janoskians: Untold and Untrue,Movie,United States,2016,TV-MA,['Comedies'],Netflix
Kid-E-Cats,TV Show,Russia,2016,TV-Y,"[""Kids' TV""]",Netflix
Kuroko's Basketball,TV Show,Japan,2015,TV-MA,"['Anime Series', 'International TV Shows', 'Teen TV Shows']",Netflix
Labyrinth,Movie,"United Kingdom, United States",1986,PG,"['Action & Adventure', 'Children & Family Movies', 'Cult Movies']",Netflix
Letters to Juliet,Movie,United States,2010,PG,"['Comedies', 'Dramas', 'Romantic Movies']",Netflix
Level 16,Movie,Canada,2018,TV-14,"['Sci-Fi & Fantasy', 'Thrillers']",Netflix
Love Don't Cost a Thing,Movie,United States,2003,PG-13,"['Comedies', 'Romantic Movies']",Netflix
Love in a Puff,Movie,Hong Kong,2010,TV-MA,"['Comedies', 'Dramas', 'International Movies']",Netflix
Major Dad,TV Show,United States,1992,TV-PG,['TV Comedies'],Netflix
Mars Attacks!,Movie,United States,1996,PG-13,"['Comedies', 'Cult Movies', 'Sci-Fi & Fantasy']",Netflix
Marshall,Movie,"United States, China, Hong Kong",2017,PG-13,['Dramas'],Netflix
My Boss's Daughter,Movie,United States,2003,R,"['Comedies', 'Romantic Movies']",Netflix
Mystery Men,Movie,United States,1999,PG-13,"['Action & Adventure', 'Comedies']",Netflix
Oldsters,TV Show,,2019,TV-MA,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
Once Upon a Time in America,Movie,"Italy, United States",1984,R,"['Classic Movies', 'Dramas']",Netflix
Open Season 2,Movie,"United States, Canada",2008,PG,"['Children & Family Movies', 'Comedies']",Netflix
Osmosis Jones,Movie,United States,2001,PG,"['Action & Adventure', 'Children & Family Movies', 'Comedies']",Netflix
Poseidon,Movie,United States,2006,PG-13,"['Action & Adventure', 'Dramas']",Netflix
Rhyme & Reason,Movie,United States,1997,R,"['Documentaries', 'Music & Musicals']",Netflix
Same Kind of Different as Me,Movie,United States,2017,PG-13,"['Dramas', 'Faith & Spirituality']",Netflix
School of Rock,Movie,"United States, Germany",2003,PG-13,"['Comedies', 'Music & Musicals']",Netflix
Snervous Tyler Oakley,Movie,United States,2015,PG-13,"['Documentaries', 'LGBTQ Movies']",Netflix
Tears of the Sun,Movie,United States,2003,R,"['Action & Adventure', 'Dramas']",Netflix
The Blue Lagoon,Movie,United States,1980,R,"['Dramas', 'Romantic Movies']",Netflix
The Golden Child,Movie,United States,1986,PG-13,"['Action & Adventure', 'Comedies']",Netflix
The Guns of Navarone,Movie,"United Kingdom, United States",1961,TV-14,"['Action & Adventure', 'Classic Movies']",Netflix
The Interview,Movie,United States,2014,R,"['Action & Adventure', 'Comedies']",Netflix
The Nutty Professor,Movie,United States,1996,PG-13,"['Comedies', 'Romantic Movies']",Netflix
The Nutty Professor II: The Klumps,Movie,,2000,PG-13,"['Comedies', 'Romantic Movies']",Netflix
Turning Point: 9/11 and the War on Terror,TV Show,,2021,TV-14,['Docuseries'],Netflix
Welcome Home Roscoe Jenkins,Movie,United States,2008,PG-13,['Comedies'],Netflix
In the Line of Fire,Movie,United States,1993,R,"['Action & Adventure', 'Classic Movies']",Netflix
Sparking Joy,TV Show,United States,2021,TV-PG,['Reality TV'],Netflix
Untold: Crime & Penalties,Movie,,2021,TV-MA,"['Documentaries', 'Sports Movies']",Netflix
Hometown Cha-Cha-Cha,TV Show,,2021,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
The Ingenuity of the Househusband,TV Show,,2021,TV-G,"['International TV Shows', 'TV Comedies']",Netflix
2 Alone in Paris,Movie,France,2008,TV-MA,"['Comedies', 'International Movies']",Netflix
Bread Barbershop,TV Show,,2020,TV-Y,"[""Kids' TV"", 'TV Comedies']",Netflix
Thimmarusu,Movie,India,2021,TV-14,"['Dramas', 'International Movies']",Netflix
Wind River,Movie,"United Kingdom, Canada, United States",2017,R,"['Dramas', 'Independent Movies']",Netflix
C Kkompany,Movie,India,2008,TV-14,"['Action & Adventure', 'Comedies', 'International Movies']",Netflix
D.P.,TV Show,", South Korea",2021,TV-MA,"['International TV Shows', 'TV Dramas']",Netflix
Deadly Sins,TV Show,,2002,TV-MA,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",Netflix
EMI: Liya Hai To Chukana Padega,Movie,India,2008,TV-14,"['Comedies', 'Dramas', 'International Movies']",Netflix
He's All That,Movie,,2021,TV-14,"['Comedies', 'Romantic Movies']",Netflix
I Heart Arlo,TV Show,,2021,TV-Y7,"[""Kids' TV"", 'TV Comedies']",Netflix
King of Boys: The Return of the King,TV Show,Nigeria,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",Netflix
Koi Aap Sa,Movie,India,2006,TV-14,"['Comedies', 'Dramas', 'International Movies']",Netflix
Krishna Cottage,Movie,India,2004,TV-14,"['Action & Adventure', 'Horror Movies', 'International Movies']",Netflix
Kucch To Hai,Movie,India,2003,TV-14,"['Dramas', 'International Movies', 'Thrillers']",Netflix
Kyaa Kool Hai Hum,Movie,India,2005,TV-MA,"['Comedies', 'International Movies', 'Music & Musicals']",Netflix
Kyaa Kool Hain Hum 3,Movie,India,2016,TV-MA,"['Comedies', 'International Movies']",Netflix
Kyaa Super Kool Hain Hum,Movie,India,2012,TV-MA,"['Comedies', 'International Movies']",Netflix
Kyo Kii... Main Jhuth Nahin Bolta,Movie,India,2001,TV-14,"['Comedies', 'International Movies', 'Sci-Fi & Fantasy']",Netflix
"LSD: Love, Sex Aur Dhokha",Movie,India,2010,TV-MA,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Mission Istaanbul: Darr Ke Aagey Jeet Hai,Movie,India,2008,TV-14,"['Action & Adventure', 'International Movies', 'Music & Musicals']",Netflix
Once Upon a Time in Mumbaai,Movie,India,2010,TV-14,"['Dramas', 'International Movies', 'Music & Musicals']",Netflix
Once Upon a Time in Mumbai Dobaara!,Movie,India,2013,TV-14,"['Dramas', 'International Movies', 'Music & Musicals']",Netflix
Ragini MMS,Movie,India,2011,TV-MA,"['Horror Movies', 'International Movies']",Netflix
Ragini MMS 2,Movie,India,2014,TV-MA,"['Horror Movies', 'International Movies']",Netflix
Rebellion,TV Show,Ireland,2016,TV-MA,"['International TV Shows', 'TV Dramas']",Netflix
RIDE ON TIME,TV Show,,2021,TV-PG,"['Docuseries', 'International TV Shows']",Netflix
SAS: Rise of the Black Swan,Movie,,2021,R,"['Action & Adventure', 'International Movies']",Netflix
Shootout at Lokhandwala,Movie,India,2007,TV-MA,"['Action & Adventure', 'Dramas', 'International Movies']",Netflix
Shor In the City,Movie,India,2011,TV-14,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
The Dirty Picture,Movie,India,2011,TV-14,"['Comedies', 'Dramas', 'International Movies']",Netflix
Titletown High,TV Show,,2021,TV-14,"['Reality TV', 'Teen TV Shows']",Netflix
EDENS ZERO,TV Show,Japan,2021,TV-14,"['Anime Series', 'International TV Shows']",Netflix
Family Reunion,TV Show,United States,2021,TV-PG,"[""Kids' TV"", 'TV Comedies']",Netflix
"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,,2021,TV-14,['Documentaries'],Netflix
Clickbait,TV Show,,2021,TV-MA,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries']",Netflix
John of God: The Crimes of a Spiritual Healer,TV Show,,2021,TV-MA,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",Netflix
Motel Makeover,TV Show,,2021,TV-14,"['International TV Shows', 'Reality TV']",Netflix
Open Your Eyes,TV Show,,2021,TV-MA,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",Netflix
Post Mortem: No One Dies in Skarnes,TV Show,,2021,TV-MA,"['International TV Shows', 'TV Comedies', 'TV Dramas']",Netflix
Really Love,Movie,United States,2020,TV-MA,"['Dramas', 'Independent Movies', 'Romantic Movies']",Netflix
The November Man,Movie,"United States, United Kingdom",2014,R,['Action & Adventure'],Netflix
The Old Ways,Movie,United States,2020,TV-MA,['Horror Movies'],Netflix
The River Runner,Movie,,2021,TV-MA,"['Documentaries', 'Sports Movies']",Netflix
The Water Man,Movie,United States,2021,PG,"['Children & Family Movies', 'Dramas']",Netflix
Wheel of Fortune,TV Show,United States,2019,TV-G,['Reality TV'],Netflix
Count Me In,Movie,United Kingdom,2021,TV-MA,"['Documentaries', 'Music & Musicals']",Netflix
Oggy Oggy,TV Show,,2021,TV-Y,"[""Kids' TV"", 'TV Comedies']",Netflix
Untold: Caitlyn Jenner,Movie,,2021,TV-PG,"['Documentaries', 'LGBTQ Movies', 'Sports Movies']",Netflix
Boomika,Movie,,2021,TV-14,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
Boomika (Hindi),Movie,,2021,TV-14,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
Boomika (Malayalam),Movie,,2021,TV-14,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
Boomika (Telugu),Movie,,2021,TV-14,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
The Witcher: Nightmare of the Wolf,Movie,,2021,TV-MA,"['Action & Adventure', 'Anime Features']",Netflix
Manifest,TV Show,United States,2021,TV-14,"['TV Dramas', 'TV Mysteries', 'TV Sci-Fi & Fantasy']",Netflix
Comedy Premium League,TV Show,,2021,TV-MA,"['International TV Shows', 'TV Comedies']",Netflix
Everything Will Be Fine,TV Show,,2021,TV-MA,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Comedies']",Netflix
Gunshot,Movie,,2018,TV-14,"['Dramas', 'International Movies', 'Thrillers']",Netflix
Korean Cold Noodle Rhapsody,TV Show,,2021,TV-PG,"['Docuseries', 'International TV Shows']",Netflix
Man in Love,Movie,,2021,TV-MA,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Sweet Girl,Movie,United States,2021,R,"['Action & Adventure', 'Dramas']",Netflix
The Chair,TV Show,,2021,TV-MA,"['TV Comedies', 'TV Dramas']",Netflix
The Loud House Movie,Movie,,2021,TV-Y7,"['Children & Family Movies', 'Comedies', 'Music & Musicals']",Netflix
A Faraway Land,Movie,,2020,TV-PG,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Like Crazy,Movie,United States,2011,PG-13,"['Dramas', 'Independent Movies', 'Romantic Movies']",Netflix
Black Island,Movie,,2021,TV-MA,"['International Movies', 'Thrillers']",Netflix
Bombay,Movie,India,1995,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Go! Go! Cory Carson,TV Show,United States,2021,TV-Y,"[""Kids' TV""]",Netflix
Memories of a Murderer: The Nilsen Tapes,Movie,,2021,TV-MA,"['Documentaries', 'International Movies']",Netflix
Nneka The Pretty Serpent,Movie,,2020,TV-14,"['Dramas', 'International Movies']",Netflix
O Kadhal Kanmani,Movie,,2015,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Out of my league,Movie,,2020,TV-MA,"['Comedies', 'Dramas', 'International Movies']",Netflix
Pahuna,Movie,"India, Nepal",2018,TV-PG,"['Comedies', 'Dramas', 'International Movies']",Netflix
The Defeated,TV Show,,2020,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",Netflix
The Secret Diary of an Exchange Student,Movie,,2021,TV-14,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
Untold: Deal With the Devil,Movie,,2021,TV-MA,"['Documentaries', 'LGBTQ Movies', 'Sports Movies']",Netflix
Mother Goose Club,TV Show,United States,2016,TV-Y,"[""Kids' TV""]",Netflix
Walk of Shame,Movie,United States,2014,R,"['Comedies', 'Independent Movies']",Netflix
